T,T_H,H,H_E,E,E_SPACE,SPACE,SPACE_Q,Q,Q_U,U,U_I,I,I_C,C,C_K,K,K_SPACE,SPACE,SPACE_B,B,B_R,R,R_O,O,O_W,W,W_N,N,N_SPACE,SPACE,SPACE_F,F,F_O,O,O_X,X,X_SPACE,SPACE,SPACE_J,J,J_U,U,U_M,M,M_P,P,P_S,S,S_SPACE,SPACE,SPACE_O,O,O_V,V,V_E,E,E_R,R,R_SPACE,SPACE,SPACE_T,T,T_H,H,H_E,E,E_SPACE,SPACE,SPACE_L,L,L_A,A,A_Z,Z,Z_Y,Y,Y_SPACE,SPACE,SPACE_D,D,D_O,O,O_G,G,CLASS
-0.111,-0.045,-0.111,-0.029,-0.083,-0.027,-0.109,-0.024,-0.093,-0.017,-0.114,-0.068,-0.113,0,-0.087,-0.001,-0.135,-0.093,-0.067,-0.113,-0.091,-0.02,-0.158,0,-0.109,-0.025,-0.112,-0.001,-0.135,-0.069,-0.111,-0.001,-0.087,-0.048,-0.088,-0.044,-0.136,-0.02,-0.117,-0.087,-0.088,-0.092,-0.092,-0.132,-0.136,-0.113,-0.111,-0.045,-0.157,-0.001,-0.089,-0.09,-0.092,-0.02,-0.113,-0.023,-0.111,-0.024,-0.088,-0.044,-0.112,-0.028,-0.064,-0.044,-0.092,-0.044,-0.11,-0.026,-0.092,-0.089,-0.177,-0.001,-0.091,-0.089,-0.091,-0.045,-0.111,-0.069,-0.087,-0.024,-0.092,-0.025,-0.107,-0.024,-0.112,1
-0.112,-0.068,-0.112,-0.02,-0.092,-0.02,-0.136,-0.024,-0.068,-0.045,-0.087,-0.068,-0.113,-0.045,-0.09,-0.024,-0.088,-0.093,-0.091,-0.089,-0.111,-0.001,-0.087,-0.024,-0.113,0,-0.091,-0.02,-0.097,-0.087,-0.152,-0.027,-0.091,-0.021,-0.111,-0.049,-0.117,-0.001,-0.087,-0.112,-0.068,-0.092,-0.088,-0.114,-0.11,-0.048,-0.132,-0.024,-0.068,0,-0.088,-0.097,-0.161,-0.019,-0.072,-0.024,-0.132,0,-0.112,-0.028,-0.081,-0.028,-0.087,-0.048,-0.088,-0.001,-0.091,-0.02,-0.092,-0.069,-0.157,-0.026,-0.091,-0.088,-0.072,-0.038,-0.098,-0.066,-0.086,-0.069,-0.087,-0.001,-0.115,-0.065,-0.091,1
-0.111,-0.068,-0.112,-0.02,-0.094,-0.042,-0.092,-0.068,-0.092,0,-0.092,-0.084,-0.112,-0.045,-0.091,-0.024,-0.092,-0.089,-0.111,-0.086,-0.094,0,-0.088,-0.024,-0.113,-0.026,-0.091,-0.049,-0.087,-0.089,-0.181,-0.001,-0.087,-0.024,-0.112,-0.044,-0.09,0,-0.118,-0.128,-0.068,-0.092,-0.088,-0.137,-0.091,-0.089,-0.111,-0.024,-0.094,0,-0.086,-0.089,-0.095,0,-0.065,-0.019,-0.111,-0.044,-0.112,-0.044,-0.092,-0.028,-0.084,-0.028,-0.084,-0.024,-0.086,0,-0.094,-0.088,-0.181,-0.001,-0.067,-0.088,-0.068,-0.045,-0.091,-0.069,-0.111,-0.001,-0.111,-0.044,-0.118,-0.016,-0.089,1
-0.11,-0.093,-0.09,-0.023,-0.111,-0.024,-0.112,-0.001,-0.111,-0.02,-0.092,-0.112,-0.112,-0.024,-0.087,-0.025,-0.112,-0.068,-0.086,-0.123,-0.083,-0.024,-0.088,-0.044,-0.136,-0.024,-0.088,-0.024,-0.092,-0.088,-0.112,-0.028,-0.108,-0.066,-0.114,-0.088,-0.157,-0.023,-0.135,-0.069,-0.087,-0.091,-0.089,-0.116,-0.112,-0.07,-0.11,-0.001,-0.087,-0.024,-0.088,-0.069,-0.091,-0.001,-0.069,-0.043,-0.131,-0.068,-0.112,-0.048,-0.112,0,-0.065,-0.045,-0.09,-0.028,-0.108,-0.001,-0.091,-0.088,-0.184,-0.001,-0.06,-0.12,-0.064,-0.065,-0.091,-0.069,-0.109,-0.001,-0.113,-0.024,-0.112,-0.044,-0.112,1
-0.111,-0.048,-0.088,-0.025,-0.087,-0.024,-0.112,-0.044,-0.092,-0.02,-0.092,-0.072,-0.108,-0.025,-0.113,-0.001,-0.111,-0.092,-0.09,-0.09,-0.207,-0.001,-0.083,-0.024,-0.113,-0.001,-0.091,-0.024,-0.088,-0.069,-0.086,-0.001,-0.092,-0.024,-0.088,-0.045,-0.114,0,-0.094,-0.084,-0.068,-0.092,-0.088,-0.113,-0.111,-0.048,-0.132,-0.024,-0.092,-0.019,-0.094,-0.061,-0.179,-0.001,-0.087,-0.023,-0.112,-0.024,-0.088,-0.049,-0.136,-0.023,-0.092,-0.044,-0.112,0,-0.088,-0.024,-0.071,-0.109,-0.178,-0.023,-0.067,-0.113,-0.087,-0.813,-0.111,-0.205,-0.087,-0.044,-0.092,-0.089,-0.135,-0.113,-0.089,1
-0.111,-0.113,-0.117,-0.131,-0.091,-0.133,-0.091,-0.02,-0.072,-1.033,-0.111,-0.136,-0.092,-0.045,-0.087,-0.024,-0.11,-0.115,-0.111,-0.181,-0.111,-0.049,-0.131,-1.036,-0.136,-0.38,-0.116,-0.113,-0.111,-0.088,-0.112,-0.048,-0.112,-0.088,-0.137,-0.091,-0.112,-0.044,-0.112,-0.156,-0.092,-0.072,-0.108,-0.113,-0.111,-0.181,-0.112,-0.111,-0.092,-0.089,-0.091,-0.157,-0.111,-0.068,-0.098,-0.174,-0.112,-0.112,-0.092,-0.089,-0.111,-0.069,-0.115,-0.04,-0.118,-0.11,-0.088,-0.024,-0.112,-0.181,-0.111,-0.045,-0.067,-0.225,-0.067,-0.111,-0.093,-0.156,-0.112,-0.069,-0.111,-0.093,-0.115,-0.109,-0.115,2
-0.109,-0.07,-0.112,-0.136,-0.112,-0.069,-0.112,-0.112,-0.111,-0.092,-0.088,-0.09,-0.114,-0.112,-0.116,-0.064,-0.088,-0.112,-0.116,-0.18,-0.118,-0.06,-0.138,-0.156,-0.112,-0.252,-0.108,-0.072,-0.084,-0.094,-0.086,-0.092,-0.116,-0.064,-0.092,-0.112,-0.108,-0.068,-0.096,-0.136,-0.083,-0.093,-0.088,-0.136,-0.112,-0.224,-0.112,-0.092,-0.088,-0.092,-0.086,-0.162,-0.088,-0.092,-0.088,-0.18,-0.092,-0.113,-0.111,-0.138,-0.114,-0.133,-0.087,-0.049,-0.111,-0.089,-0.087,-0.029,-0.111,-0.157,-0.109,-0.022,-0.112,-0.205,-0.091,-0.065,-0.091,-0.18,-0.088,-0.097,-0.109,-0.091,-0.111,-0.113,-0.087,2
-0.087,-0.068,-0.112,-0.092,-0.088,-0.07,-0.11,-0.112,-0.092,-0.088,-0.112,-0.092,-0.112,-0.088,-0.116,-0.021,-0.112,-0.091,-0.112,-0.136,-0.088,-0.044,-0.116,-0.18,-0.112,-0.268,-0.112,-0.072,-0.088,-0.088,-0.116,-0.065,-0.091,-0.089,-0.111,-0.139,-0.066,-0.088,-0.095,-0.136,-0.068,-0.084,-0.092,-0.16,-0.084,-0.608,-0.116,-0.496,-0.085,-0.071,-0.088,-0.18,-0.096,-0.108,-0.088,-0.224,-0.092,-0.11,-0.094,-0.11,-0.07,-0.068,-0.088,-0.068,-0.14,-0.06,-0.092,-0.068,-0.112,-0.181,-0.091,-0.02,-0.092,-0.132,-0.092,-0.068,-0.112,-0.137,-0.111,-0.248,-0.112,-0.088,-0.092,-0.088,-0.092,2
-0.109,-0.028,-0.13,-0.112,-0.092,-0.044,-0.112,-0.136,-0.112,-0.068,-0.092,-0.113,-0.085,-0.07,-0.092,-0.064,-0.116,-0.112,-0.092,-0.132,-0.112,-0.024,-0.112,-0.138,-0.11,-0.069,-0.111,-0.089,-0.091,-0.088,-0.092,-0.088,-0.092,-0.088,-0.114,-0.044,-0.09,-0.072,-0.088,-0.132,-0.068,-0.092,-0.088,-0.092,-0.112,-0.157,-0.111,-0.093,-0.067,-0.064,-0.116,-0.132,-0.092,-0.044,-0.092,-0.2,-0.09,-0.09,-0.112,-0.069,-0.091,-0.088,-0.092,-0.044,-0.088,-0.068,-0.092,-0.02,-0.116,-0.156,-0.112,-0.025,-0.087,-0.524,-0.084,-0.044,-0.092,-0.201,-0.067,-0.072,-0.088,-0.089,-0.111,-0.136,-0.092,2
-0.091,-0.088,-0.088,-0.136,-0.068,-0.094,-0.086,-0.112,-0.092,-0.068,-0.112,-0.088,-0.112,-0.048,-0.088,-0.044,-0.112,-0.118,-0.086,-0.136,-0.088,-0.069,-0.111,-0.112,-0.092,-0.112,-0.112,-0.092,-0.085,-0.115,-0.092,-0.136,-0.064,-0.116,-0.116,-0.064,-0.112,-0.044,-0.088,-0.136,-0.092,-0.068,-0.112,-0.112,-0.088,-0.18,-0.112,-0.068,-0.092,-0.07,-0.11,-0.14,-0.108,-0.044,-0.088,-0.16,-0.112,-0.089,-0.091,-0.113,-0.091,-0.044,-0.088,-0.048,-0.112,-0.088,-0.091,-0.069,-0.088,-0.18,-0.112,-0.024,-0.111,-0.181,-0.068,-0.044,-0.111,-0.137,-0.088,-0.068,-0.112,-0.093,-0.088,-0.115,-0.092,2
-0.091,-0.137,-0.111,-0.18,-0.088,-0.206,-0.11,-0.249,-0.087,-0.453,-0.087,-0.09,-0.09,-0.249,-0.091,-0.268,-0.092,-0.133,-0.097,-0.111,-0.063,-0.204,-0.064,-0.389,-0.063,-0.317,-0.087,-0.405,-0.067,-0.113,-0.067,-0.182,-0.089,-0.362,-0.087,-0.293,-0.095,-0.15,-0.094,-0.156,-0.068,-0.093,-0.087,-0.136,-0.088,-0.161,-0.091,-0.288,-0.092,-0.157,-0.091,-0.293,-0.087,-0.228,-0.088,-0.136,-0.088,-0.092,-0.112,-0.385,-0.088,-0.18,-0.091,-0.093,-0.131,-0.18,-0.088,-0.18,-0.094,-0.178,-0.088,-0.365,-0.087,-0.112,-0.088,-0.36,-0.092,-0.112,-0.112,-0.181,-0.066,-0.361,-0.092,-0.225,-0.067,3
-0.087,-0.137,-0.111,-0.18,-0.092,-0.154,-0.098,-0.22,-0.088,-0.453,-0.087,-0.069,-0.109,-0.206,-0.088,-0.316,-0.092,-0.116,-0.108,-0.114,-0.09,-0.157,-0.067,-0.381,-0.091,-0.336,-0.068,-0.405,-0.067,-0.113,-0.091,-0.141,-0.084,-0.343,-0.06,-0.296,-0.088,-0.248,-0.086,-0.139,-0.071,-0.065,-0.111,-0.092,-0.112,-0.156,-0.092,-0.313,-0.091,-0.18,-0.088,-0.228,-0.092,-0.22,-0.11,-0.117,-0.089,-0.093,-0.087,-0.205,-0.087,-0.248,-0.09,-0.115,-0.115,-0.152,-0.092,-0.201,-0.095,-0.177,-0.089,-0.315,-0.135,-0.068,-0.088,-0.361,-0.093,-0.135,-0.087,-0.181,-0.087,-0.36,-0.092,-0.386,-0.062,3
-0.091,-0.09,-0.114,-0.2,-0.092,-0.156,-0.112,-0.204,-0.088,-0.54,-0.092,-0.088,-0.092,-0.2,-0.092,-0.384,-0.088,-0.316,-0.088,-0.113,-0.092,-0.111,-0.092,-0.36,-0.064,-0.316,-0.092,-0.404,-0.088,-0.092,-0.088,-0.14,-0.088,-0.38,-0.068,-0.341,-0.063,-0.317,-0.092,-0.115,-0.084,-0.068,-0.096,-0.108,-0.088,-0.18,-0.092,-0.316,-0.088,-0.204,-0.088,-0.224,-0.092,-0.269,-0.09,-0.157,-0.068,-0.068,-0.092,-0.184,-0.108,-0.157,-0.091,-0.114,-0.11,-0.181,-0.087,-0.204,-0.088,-0.297,-0.109,-0.342,-0.092,-0.084,-0.092,-0.365,-0.081,-0.115,-0.111,-0.184,-0.064,-0.429,-0.091,-0.205,-0.087,3
-0.114,-0.089,-0.11,-0.161,-0.068,-0.133,-0.111,-0.18,-0.09,-0.431,-0.087,-0.093,-0.087,-0.204,-0.068,-0.293,-0.112,-0.092,-0.087,-0.113,-0.091,-0.113,-0.087,-0.341,-0.087,-0.293,-0.067,-0.406,-0.09,-0.089,-0.115,-0.113,-0.087,-0.341,-0.111,-0.268,-0.096,-0.197,-0.095,-0.133,-0.087,-0.068,-0.112,-0.092,-0.086,-0.159,-0.091,-0.317,-0.067,-0.157,-0.111,-0.224,-0.096,-0.244,-0.088,-0.137,-0.087,-0.093,-0.087,-0.138,-0.11,-0.136,-0.092,-0.133,-0.091,-0.157,-0.091,-0.201,-0.089,-0.227,-0.091,-0.337,-0.087,-0.116,-0.088,-0.361,-0.067,-0.137,-0.111,-0.137,-0.087,-0.404,-0.068,-0.205,-0.067,3
-0.087,-0.112,-0.116,-0.18,-0.089,-0.543,-0.088,-0.224,-0.092,-0.468,-0.068,-0.092,-0.112,-0.204,-0.064,-0.428,-0.092,-0.18,-0.092,-0.132,-0.092,-0.181,-0.064,-0.451,-0.072,-0.332,-0.072,-0.512,-0.068,-0.137,-0.067,-0.181,-0.067,-0.405,-0.091,-0.337,-0.067,-0.293,-0.086,-0.138,-0.095,-0.085,-0.091,-0.113,-0.087,-0.181,-0.091,-0.269,-0.091,-0.157,-0.095,-0.245,-0.087,-0.254,-0.082,-0.136,-0.092,-0.088,-0.112,-0.137,-0.091,-0.159,-0.085,-0.114,-0.09,-0.18,-0.068,-0.156,-0.092,-0.316,-0.088,-0.36,-0.068,-0.112,-0.068,-0.405,-0.09,-0.134,-0.095,-0.201,-0.043,-0.428,-0.088,-0.272,-0.044,3
-0.087,-0.164,-0.064,-0.405,-0.088,-0.292,-0.091,-0.404,-0.092,-0.404,-0.112,-0.181,-0.067,-0.498,-0.086,-0.405,-0.091,-0.337,-0.113,-0.202,-0.068,-0.385,-0.087,-0.342,-0.086,-0.497,-0.087,-0.406,-0.094,-0.333,-0.095,-0.244,-0.112,-0.336,-0.068,-0.496,-0.112,-0.266,-0.116,-0.294,-0.112,-0.18,-0.092,-0.246,-0.11,-0.273,-0.111,-0.496,-0.09,-0.246,-0.096,-0.307,-0.097,-0.469,-0.087,-0.273,-0.111,-0.205,-0.087,-0.248,-0.112,-0.248,-0.136,-0.156,-0.116,-0.244,-0.112,-0.233,-0.107,-0.248,-0.089,-0.496,-0.111,-0.181,-0.087,-0.426,-0.118,-0.292,-0.088,-0.224,-0.112,-0.408,-0.068,-0.493,-0.091,4
-0.111,-0.156,-0.092,-0.312,-0.112,-0.248,-0.092,-0.336,-0.112,-0.358,-0.114,-0.136,-0.092,-0.516,-0.096,-0.401,-0.087,-0.292,-0.116,-0.157,-0.113,-0.246,-0.112,-0.36,-0.068,-0.564,-0.112,-0.317,-0.087,-0.226,-0.11,-0.273,-0.091,-0.337,-0.087,-0.54,-0.112,-0.228,-0.111,-0.274,-0.087,-0.112,-0.112,-0.204,-0.112,-0.248,-0.088,-0.584,-0.092,-0.225,-0.091,-0.337,-0.087,-0.564,-0.092,-0.244,-0.136,-0.161,-0.087,-0.249,-0.135,-0.226,-0.109,-0.182,-0.091,-0.292,-0.112,-0.266,-0.093,-0.293,-0.068,-0.497,-0.109,-0.135,-0.115,-0.364,-0.084,-0.338,-0.09,-0.337,-0.111,-0.428,-0.048,-0.584,-0.088,4
-0.113,-0.158,-0.088,-0.36,-0.092,-0.314,-0.114,-0.317,-0.131,-0.34,-0.132,-0.136,-0.092,-0.449,-0.135,-0.334,-0.114,-0.297,-0.111,-0.181,-0.111,-0.25,-0.109,-0.338,-0.111,-0.474,-0.114,-0.336,-0.112,-0.18,-0.112,-0.25,-0.11,-0.317,-0.087,-0.496,-0.112,-0.228,-0.112,-0.269,-0.091,-0.132,-0.116,-0.181,-0.111,-0.269,-0.092,-0.539,-0.088,-0.249,-0.111,-0.34,-0.088,-0.473,-0.135,-0.204,-0.132,-0.161,-0.114,-0.246,-0.131,-0.228,-0.112,-0.157,-0.117,-0.267,-0.087,-0.277,-0.107,-0.316,-0.112,-0.516,-0.136,-0.18,-0.112,-0.361,-0.111,-0.293,-0.111,-0.23,-0.11,-0.428,-0.088,-0.496,-0.088,4
-0.111,-0.164,-0.084,-0.294,-0.09,-0.224,-0.116,-0.357,-0.092,-0.359,-0.156,-0.113,-0.091,-0.424,-0.118,-0.311,-0.09,-0.293,-0.112,-0.157,-0.093,-0.266,-0.116,-0.337,-0.111,-0.517,-0.091,-0.361,-0.067,-0.226,-0.064,-0.271,-0.066,-0.41,-0.063,-0.52,-0.092,-0.201,-0.087,-0.3,-0.082,-0.138,-0.112,-0.157,-0.091,-0.249,-0.087,-0.565,-0.087,-0.205,-0.087,-0.317,-0.065,-0.519,-0.091,-0.225,-0.111,-0.134,-0.094,-0.224,-0.112,-0.224,-0.112,-0.161,-0.089,-0.314,-0.11,-0.226,-0.092,-0.318,-0.086,-0.496,-0.136,-0.133,-0.091,-0.381,-0.115,-0.245,-0.091,-0.293,-0.093,-0.446,-0.092,-0.425,-0.097,4
-0.111,-0.156,-0.092,-0.405,-0.091,-0.289,-0.115,-0.43,-0.11,-0.384,-0.108,-0.16,-0.088,-0.453,-0.131,-0.341,-0.111,-0.292,-0.092,-0.225,-0.111,-0.293,-0.115,-0.357,-0.111,-0.52,-0.088,-0.361,-0.115,-0.201,-0.111,-0.248,-0.116,-0.313,-0.087,-0.54,-0.116,-0.244,-0.112,-0.249,-0.111,-0.161,-0.115,-0.2,-0.112,-0.249,-0.087,-0.611,-0.109,-0.249,-0.111,-0.336,-0.096,-0.512,-0.112,-0.277,-0.083,-0.136,-0.136,-0.248,-0.112,-0.269,-0.115,-0.156,-0.09,-0.314,-0.111,-0.273,-0.112,-0.25,-0.09,-0.54,-0.088,-0.18,-0.112,-0.336,-0.092,-0.292,-0.112,-0.272,-0.112,-0.38,-0.092,-0.562,-0.118,4
-0.058,-0.066,-0.055,-0.088,-0.05,-0.031,-0.073,-0.094,-0.056,-0.024,-0.063,-0.104,-0.072,-0.047,-0.067,-0.038,-0.068,-0.107,-0.07,-0.12,-0.063,-0.045,-0.047,-0.039,-0.08,-0.016,-0.053,-0.054,-0.066,-0.109,-0.069,-0.016,-0.05,-0.044,-0.076,-0.042,-0.05,-0.024,-0.094,-0.111,-0.063,-0.099,-0.064,-0.134,-0.084,-0.098,-0.089,-0.016,-0.054,-0.067,-0.077,-0.103,-0.071,-0.033,-0.104,-0.024,-0.102,-0.051,-0.079,-0.123,-0.082,-0.31,-0.048,-0.081,-0.077,-0.042,-0.076,-0.04,-0.082,-0.147,-0.081,-0.034,-0.061,-0.11,-0.066,-0.114,-0.06,-0.12,-0.072,-0.074,-0.069,-0.035,-0.09,-0.056,-0.059,6
-0.059,-0.05,-0.067,-0.058,-0.065,-0.031,-0.076,-0.057,-0.052,-0.043,-0.061,-0.099,-0.071,-0.047,-0.064,-0.04,-0.082,-0.105,-0.055,-0.208,-0.058,-0.093,-0.061,-0.073,-0.048,-0.499,-0.062,-0.044,-0.056,-0.094,-0.074,-0.024,-0.044,-0.055,-0.068,-0.044,-0.056,-0.026,-0.088,-0.103,-0.068,-0.094,-0.059,-0.145,-0.096,-0.118,-0.074,-0.021,-0.069,-0.03,-0.067,-0.092,-0.075,-0.019,-0.083,-0.021,-0.1,-0.064,-0.075,-0.06,-0.073,-0.051,-0.041,-0.065,-0.067,-0.033,-0.065,-0.03,-0.069,-0.12,-0.174,-0.016,-0.055,-0.114,-0.049,-0.042,-0.067,-0.1,-0.066,-0.037,-0.061,-0.034,-0.088,-0.035,-0.066,6
-0.053,-0.02,-0.067,-0.076,-0.06,-0.017,-0.064,-0.094,-0.159,-0.015,-0.082,-0.103,-0.074,-0.054,-0.084,-0.047,-0.053,-0.129,-0.068,-0.124,-0.067,-0.022,-0.063,-0.038,-0.09,-0.031,-0.066,-0.026,-0.074,-0.091,-0.065,-0.016,-0.056,-0.045,-0.065,-0.05,-0.063,-0.016,-0.071,-0.11,-0.082,-0.111,-0.058,-0.13,-0.084,-0.095,-0.093,-0.018,-0.068,-0.029,-0.067,-0.084,-0.151,-0.014,-0.079,-0.015,-0.1,-0.036,-0.088,-0.049,-0.065,-0.069,-0.014,-0.064,-0.07,-0.039,-0.082,-0.016,-0.064,-0.095,-0.175,-0.016,-0.06,-0.111,-0.054,-0.015,-0.067,-0.112,-0.066,-0.018,-0.071,-0.04,-0.069,-0.055,-0.051,6
-0.065,-0.043,-0.043,-0.081,-0.063,-0.034,-0.077,-0.277,-0.068,-0.046,-0.061,-0.119,-0.055,-0.039,-0.069,-0.025,-0.063,-0.092,-0.061,-0.113,-0.061,-0.016,-0.051,-0.054,-0.082,-0.016,-0.056,-0.045,-0.063,-0.112,-0.063,-0.041,-0.049,-0.043,-0.074,-0.059,-0.056,-0.035,-0.074,-0.159,-0.097,-0.083,-0.082,-0.106,-0.08,-0.088,-0.094,-0.019,-0.056,-0.032,-0.063,-0.076,-0.057,-0.018,-0.097,-0.015,-0.098,-0.033,-0.071,-0.068,-0.07,-0.039,-0.04,-0.069,-0.067,-0.025,-0.068,-0.025,-0.066,-0.082,-0.124,-0.027,-0.066,-0.117,-0.072,-0.015,-0.059,-0.094,-0.133,-0.027,-0.09,-0.048,-0.064,-0.03,-0.058,6
-0.053,-0.03,-0.06,-0.053,-0.066,-0.026,-0.056,-0.214,-0.074,-0.044,-0.064,-0.109,-0.063,-0.068,-0.072,-0.02,-0.069,-0.083,-0.068,-0.105,-0.06,-0.027,-0.051,-0.05,-0.069,-0.016,-0.054,-0.042,-0.048,-0.119,-0.08,-0.028,-0.063,-0.035,-0.062,-0.057,-0.054,-0.046,-0.07,-0.14,-0.052,-0.131,-0.072,-0.142,-0.087,-0.089,-0.083,-0.015,-0.059,-0.058,-0.055,-0.085,-0.063,-0.017,-0.079,-0.016,-0.098,-0.042,-0.067,-0.077,-0.069,-0.046,-0.021,-0.068,-0.064,-0.027,-0.08,-0.016,-0.076,-0.083,-0.076,-0.017,-0.046,-0.098,-0.06,-0.035,-0.054,-0.097,-0.162,-0.015,-0.06,-0.045,-0.076,-0.019,-0.061,6
-0.059,-0.035,-0.063,-0.051,-0.069,-0.045,-0.072,-0.042,-0.064,-0.022,-0.07,-0.073,-0.087,-0.015,-0.065,-0.034,-0.08,-0.079,-0.069,-0.121,-0.055,-0.017,-0.077,-0.024,-0.082,-0.017,-0.052,-0.037,-0.07,-0.097,-0.072,-0.015,-0.061,-0.03,-0.08,-0.055,-0.059,-0.05,-0.086,-0.107,-0.06,-0.097,-0.066,-0.133,-0.077,-0.092,-0.09,-0.024,-0.052,-0.029,-0.079,-0.075,-0.118,-0.021,-0.057,-0.019,-0.091,-0.059,-0.072,-0.045,-0.061,-0.053,-0.042,-0.049,-0.07,-0.043,-0.074,-0.015,-0.06,-0.089,-0.085,-0.016,-0.044,-0.106,-0.055,-0.026,-0.083,-0.093,-0.067,-0.02,-0.06,-0.026,-0.081,-0.053,-0.051,6
